playerId,skaterFullName,teamAbbrevs,positionCode,gamesPlayed,goals,assists,points,birthCity,birthCountryCode,birthDate,birthStateProvinceCode,draftOverall,draftRound,draftYear,firstSeasonForGameType,height,isInHallOfFameYn,lastName,nationalityCode,shootsCatches,weight,Last Season,epochGP,epochGoals,epochAssists,epochPoints
8470613,Brent Burns,COL,D,82,12,23,35,Barrie,CAN,1985-03-09,ON,20.0,1.0,2003.0,20032004,77,N,Burns,CAN,R,228,2025-2026,1394,261,637,898
8466138,Joe Thornton,FLA,C,34,5,5,10,London,CAN,1979-07-02,ON,1.0,1.0,1997.0,19971998,76,Y,Thornton,CAN,L,220,2021-2022,1042,219,660,879
8470595,Eric Staal,FLA,C,72,14,15,29,Thunder Bay,CAN,1984-10-29,ON,2.0,1.0,2003.0,20032004,76,N,Staal,CAN,L,195,2022-2023,1120,369,493,862
8470638,Patrice Bergeron,BOS,C,78,27,31,58,L'Ancienne-Lorette,CAN,1985-07-24,QC,45.0,2.0,2003.0,20032004,73,N,Bergeron,CAN,R,196,2022-2023,1065,358,500,858
8475794,Tyler Seguin,DAL,C,27,7,10,17,Brampton,CAN,1992-01-31,ON,2.0,1.0,2010.0,20102011,74,N,Seguin,CAN,R,205,2025-2026,1016,367,459,826
8478483,Mitch Marner,VGK,R,81,24,56,80,Markham,CAN,1997-05-05,ON,4.0,1.0,2015.0,20162017,72,N,Marner,CAN,R,180,2025-2026,738,245,576,821
8476459,Mika Zibanejad,NYR,C,81,34,44,78,Stockholm,SWE,1993-04-18,,6.0,1.0,2011.0,20112012,74,N,Zibanejad,SWE,R,208,2025-2026,1011,348,470,818
8474102,David Perron,"OTT,DET",L,65,13,15,28,Sherbrooke,CAN,1988-05-28,QC,26.0,1.0,2007.0,20072008,72,N,Perron,CAN,R,202,2025-2026,1239,332,480,812
8475167,Victor Hedman,TBL,D,33,1,16,17,Ornskoldsvik,SWE,1990-12-18,,2.0,1.0,2009.0,20092010,79,N,Hedman,SWE,L,244,2025-2026,1164,172,639,811
8476456,Jonathan Huberdeau,CGY,L,50,10,15,25,Saint-Jerome,CAN,1993-06-04,QC,3.0,1.0,2011.0,20122013,73,N,Huberdeau,CAN,L,200,2025-2026,962,263,544,807
8474161,Jakub Voracek,CBJ,R,11,1,5,6,Kladno,CZE,1989-08-15,,7.0,1.0,2007.0,20082009,74,N,Voracek,CZE,L,216,2022-2023,1058,223,583,806
8476454,Ryan Nugent-Hopkins,EDM,C,72,20,36,56,Burnaby,CAN,1993-04-12,BC,1.0,1.0,2011.0,20112012,73,N,Nugent-Hopkins,CAN,L,192,2025-2026,1031,291,513,804
8471724,Kris Letang,PIT,D,74,3,31,34,Montréal,CAN,1987-04-24,QC,62.0,3.0,2005.0,20062007,72,N,Letang,CAN,R,199,2025-2026,1228,176,628,804
8470610,Zach Parise,COL,L,30,5,5,10,Minneapolis,USA,1984-07-28,MN,17.0,1.0,2003.0,20052006,71,N,Parise,USA,L,195,2023-2024,1091,389,406,795
8475791,Taylor Hall,CAR,L,80,18,30,48,Calgary,CAN,1991-11-14,AB,1.0,1.0,2010.0,20102011,73,N,Hall,CAN,L,210,2025-2026,989,302,485,787
8471276,David Krejci,BOS,C,70,16,40,56,Sternberk,CZE,1986-04-28,,63.0,2.0,2004.0,20062007,72,N,Krejci,CZE,R,192,2022-2023,1026,231,555,786
8474590,John Carlson,"WSH,ANA",D,71,14,46,60,Natick,USA,1990-01-10,MA,27.0,1.0,2008.0,20092010,75,N,Carlson,USA,R,220,2025-2026,1159,170,615,785
8474586,Jordan Eberle,SEA,R,80,26,29,55,Regina,CAN,1990-05-15,SK,22.0,1.0,2008.0,20102011,71,N,Eberle,CAN,R,180,2025-2026,1140,334,449,783
8478420,Mikko Rantanen,DAL,R,64,22,55,77,Nousiainen,FIN,1996-10-29,,10.0,1.0,2015.0,20152016,76,N,Rantanen,FIN,L,228,2025-2026,716,316,466,782
8477493,Aleksander Barkov,FLA,C,67,20,51,71,Tampere,FIN,1995-09-02,,2.0,1.0,2013.0,20132014,75,N,Barkov,FIN,L,214,2024-2025,804,286,496,782
8479318,Auston Matthews,TOR,C,60,27,26,53,San Ramon,USA,1997-09-17,CA,1.0,1.0,2016.0,20162017,75,N,Matthews,USA,L,215,2025-2026,689,428,352,780
8474600,Roman Josi,NSH,D,68,13,42,55,Bern,CHE,1990-06-01,,38.0,2.0,2008.0,20112012,73,N,Josi,CHE,L,201,2025-2026,1030,203,576,779
8470604,Jeff Carter,PIT,C,72,11,4,15,London,CAN,1985-01-01,ON,11.0,1.0,2003.0,20052006,75,N,Carter,CAN,R,219,2023-2024,1178,405,367,772
8467876,Henrik Sedin,VAN,C,82,3,47,50,Ornskoldsvik,SWE,1980-09-26,,3.0,1.0,1999.0,20002001,74,Y,Sedin,SWE,L,183,2017-2018,848,168,600,768
8476468,J.T. Miller,NYR,C,68,17,36,53,East Palestine,USA,1993-03-14,OH,15.0,1.0,2011.0,20122013,72,N,Miller,USA,L,211,2025-2026,939,277,485,762
8475172,Nazem Kadri,"CGY,COL",C,77,16,34,50,London,CAN,1990-10-06,ON,7.0,1.0,2009.0,20092010,72,N,Kadri,CAN,L,185,2025-2026,1062,323,437,760
8476887,Filip Forsberg,NSH,L,82,40,35,75,Ostervala,SWE,1994-08-13,,11.0,1.0,2012.0,20122013,73,N,Forsberg,SWE,R,205,2025-2026,862,358,398,756
8471669,Paul Stastny,CAR,C,73,9,13,22,Quebec City,CAN,1985-12-27,QC,44.0,2.0,2005.0,20062007,72,N,Stastny,USA,L,193,2022-2023,1063,265,479,744
8475692,Mats Zuccarello,MIN,R,59,15,39,54,Oslo,NOR,1987-09-01,,,,,20102011,68,N,Zuccarello,NOR,L,181,2025-2026,963,232,512,744
8476346,Johnny Gaudreau,CBJ,L,81,12,48,60,Salem,USA,1993-08-13,NJ,104.0,4.0,2011.0,20132014,69,N,Gaudreau,USA,L,163,2023-2024,763,243,500,743
8469455,Jason Spezza,TOR,C,71,12,13,25,Toronto,CAN,1983-06-13,ON,2.0,1.0,2001.0,20022003,75,N,Spezza,CAN,R,219,2021-2022,1002,281,461,742
8467875,Daniel Sedin,VAN,L,81,23,32,55,Ornskoldsvik,SWE,1980-09-26,,2.0,1.0,1999.0,20002001,73,Y,Sedin,SWE,L,190,2017-2018,828,274,461,735
8475170,Brayden Schenn,"STL,NYI",C,80,18,21,39,Saskatoon,CAN,1991-08-22,SK,5.0,1.0,2009.0,20092010,73,N,Schenn,CAN,L,200,2025-2026,1102,296,428,724
8468083,Henrik Zetterberg,DET,C,82,11,45,56,Njurunda,SWE,1980-10-09,,210.0,7.0,1999.0,20022003,72,N,Zetterberg,SWE,L,197,2017-2018,802,228,492,720
8475784,Jeff Skinner,SJS,L,32,6,7,13,Toronto,CAN,1992-05-16,ON,7.0,1.0,2010.0,20102011,71,N,Skinner,CAN,L,200,2025-2026,1110,379,333,712
8478427,Sebastian Aho,CAR,C,79,27,53,80,Rauma,FIN,1997-07-26,,35.0,2.0,2015.0,20162017,72,N,Aho,FIN,L,189,2025-2026,756,310,401,711
8475765,Vladimir Tarasenko,MIN,R,75,23,24,47,Yaroslavl,RUS,1991-12-13,,16.0,1.0,2010.0,20122013,73,N,Tarasenko,RUS,L,219,2025-2026,906,327,382,709
8474563,Drew Doughty,LAK,D,72,5,18,23,London,CAN,1989-12-08,ON,2.0,1.0,2008.0,20082009,73,N,Doughty,CAN,R,210,2025-2026,1279,165,544,709
8475913,Mark Stone,VGK,R,60,28,45,73,Winnipeg,CAN,1992-05-13,MB,178.0,6.0,2010.0,20122013,75,N,Stone,CAN,R,210,2025-2026,766,259,448,707
8466139,Patrick Marleau,SJS,C,56,4,5,9,Aneroid,CAN,1979-09-15,SK,2.0,1.0,1997.0,19971998,74,N,Marleau,CAN,L,215,2020-2021,1062,347,359,706
8473533,Jordan Staal,CAR,C,75,20,16,36,Thunder Bay,CAN,1988-09-10,ON,2.0,1.0,2006.0,20062007,76,N,Staal,CAN,L,220,2025-2026,1322,289,416,705
8474053,Logan Couture,SJS,C,6,0,1,1,Guelph,CAN,1989-03-28,ON,9.0,1.0,2007.0,20092010,73,N,Couture,CAN,L,206,2023-2024,933,323,378,701
8478403,Jack Eichel,VGK,C,74,27,63,90,North Chelmsford,USA,1996-10-28,MA,2.0,1.0,2015.0,20152016,74,N,Eichel,USA,R,208,2025-2026,690,266,432,698
8474037,James van Riemsdyk,DET,L,72,15,16,31,Middletown,USA,1989-05-04,NJ,2.0,1.0,2007.0,20092010,75,N,van Riemsdyk,USA,L,210,2025-2026,1154,342,354,696
8471698,T.J. Oshie,WSH,R,52,12,13,25,Everett,USA,1986-12-23,WA,24.0,1.0,2005.0,20082009,72,N,Oshie,USA,R,187,2023-2024,1010,302,393,695
8477939,William Nylander,TOR,R,65,30,49,79,Calgary,CAN,1996-05-01,AB,8.0,1.0,2014.0,20152016,72,N,Nylander,SWE,R,200,2025-2026,750,292,399,691
8478010,Brayden Point,TBL,C,63,18,32,50,Calgary,CAN,1996-03-13,AB,79.0,3.0,2014.0,20162017,71,N,Point,CAN,R,177,2025-2026,720,324,361,685
8474157,Max Pacioretty,TOR,L,37,5,8,13,New Canaan,USA,1988-11-20,CT,22.0,1.0,2007.0,20082009,74,N,Pacioretty,USA,L,217,2024-2025,939,335,346,681
8477933,Sam Reinhart,FLA,C,64,29,32,61,West Vancouver,CAN,1995-11-06,BC,2.0,1.0,2014.0,20142015,73,N,Reinhart,CAN,R,196,2025-2026,839,323,357,680
8478398,Kyle Connor,WPG,L,82,39,53,92,Shelby Township,USA,1996-12-09,MI,17.0,1.0,2015.0,20162017,73,N,Connor,USA,L,183,2025-2026,695,323,351,674
8479314,Matthew Tkachuk,FLA,L,31,13,21,34,Scottsdale,USA,1997-12-11,AZ,6.0,1.0,2016.0,20162017,74,N,Tkachuk,USA,L,202,2025-2026,673,253,417,670
8477404,Jake Guentzel,TBL,C,81,38,50,88,Omaha,USA,1994-10-06,NE,77.0,3.0,2013.0,20162017,71,N,Guentzel,USA,L,176,2025-2026,681,306,353,659
8470598,Thomas Vanek,DET,L,64,16,20,36,Vienna,AUT,1984-01-19,,5.0,1.0,2003.0,20052006,74,N,Vanek,AUT,R,214,2018-2019,866,305,352,657
8470600,Ryan Suter,STL,D,82,2,13,15,Madison,USA,1985-01-21,WI,7.0,1.0,2003.0,20052006,73,N,Suter,USA,L,201,2024-2025,1373,98,558,656
8475754,Brock Nelson,COL,C,81,33,32,65,Warroad,USA,1991-10-15,MN,30.0,1.0,2010.0,20132014,76,N,Nelson,USA,L,205,2025-2026,1001,334,318,652
8477496,Elias Lindholm,BOS,C,69,17,31,48,Boden,SWE,1994-12-02,,5.0,1.0,2013.0,20132014,73,N,Lindholm,SWE,R,200,2025-2026,969,252,400,652
8475798,Mikael Granlund,ANA,C,58,19,22,41,Oulu,FIN,1992-02-26,,9.0,1.0,2010.0,20122013,70,N,Granlund,FIN,L,193,2025-2026,960,198,453,651
8475169,Evander Kane,VAN,L,71,13,18,31,Vancouver,CAN,1991-08-02,BC,4.0,1.0,2009.0,20092010,74,N,Kane,CAN,L,218,2025-2026,1001,339,309,648
8477946,Dylan Larkin,DET,C,74,34,33,67,Waterford,USA,1996-07-30,MI,15.0,1.0,2014.0,20152016,73,N,Larkin,USA,L,204,2025-2026,808,276,367,643
8474565,Alex Pietrangelo,VGK,D,71,4,29,33,King City,CAN,1990-01-18,ON,4.0,1.0,2008.0,20082009,75,N,Pietrangelo,CAN,R,215,2024-2025,1087,148,489,637
8462042,Jarome Iginla,"COL,LAK",R,80,14,13,27,Edmonton,CAN,1977-07-01,AB,11.0,1.0,1995.0,19961997,73,Y,Iginla,CAN,R,210,2016-2017,776,301,335,636
8469459,Mikko Koivu,CBJ,C,7,1,1,2,Turku,FIN,1983-03-12,,6.0,1.0,2001.0,20052006,75,N,Koivu,FIN,L,213,2020-2021,889,180,456,636
8470606,Dustin Brown,LAK,R,64,9,19,28,Ithaca,USA,1984-11-04,NY,13.0,1.0,2003.0,20032004,72,N,Brown,USA,R,205,2021-2022,1105,293,340,633
8475184,Chris Kreider,ANA,L,75,22,28,50,Boxford,USA,1991-04-30,MA,19.0,1.0,2009.0,20122013,75,N,Kreider,USA,L,232,2025-2026,958,348,284,632
8477497,Sean Monahan,CBJ,C,78,13,23,36,Brampton,CAN,1994-10-12,ON,6.0,1.0,2013.0,20132014,74,N,Monahan,CAN,L,206,2025-2026,896,276,355,631
8476389,Vincent Trocheck,NYR,C,67,16,37,53,Pittsburgh,USA,1993-07-11,PA,64.0,3.0,2011.0,20132014,71,N,Trocheck,USA,R,187,2025-2026,868,239,392,631
8469506,Jason Pominville,BUF,R,73,16,15,31,Repentigny,CAN,1982-11-30,QC,55.0,2.0,2001.0,20032004,71,N,Pominville,CAN,R,180,2018-2019,920,241,388,629
8475726,Tyler Toffoli,SJS,C,79,19,30,49,Scarborough,CAN,1992-04-24,ON,47.0,2.0,2010.0,20122013,72,N,Toffoli,CAN,R,205,2025-2026,969,309,315,624
8477500,Bo Horvat,NYI,C,68,31,26,57,London,CAN,1995-04-05,ON,9.0,1.0,2013.0,20142015,73,N,Horvat,CAN,L,225,2025-2026,881,300,318,618
8471735,Keith Yandle,PHI,D,77,1,18,19,Boston,USA,1986-09-09,MA,105.0,4.0,2005.0,20062007,73,N,Yandle,USA,L,192,2021-2022,1102,103,514,617
8473449,Kyle Okposo,"BUF,FLA",R,67,12,10,22,St. Paul,USA,1988-04-16,MN,7.0,1.0,2006.0,20072008,72,N,Okposo,USA,R,216,2023-2024,1051,242,372,614
8473422,Nick Foligno,"CHI,MIN",L,54,4,11,15,Buffalo,USA,1987-10-31,NY,28.0,1.0,2006.0,20072008,72,N,Foligno,USA,L,210,2025-2026,1287,251,361,612
8466378,Martin St. Louis,NYR,R,74,21,31,52,Laval,CAN,1975-06-18,QC,,,,19981999,68,Y,St. Louis,CAN,L,180,2014-2015,608,208,403,611
8476881,Tomas Hertl,VGK,C,82,24,34,58,Praha,CZE,1993-11-12,,17.0,1.0,2012.0,20132014,75,N,Hertl,CZE,L,220,2025-2026,873,276,331,607
8476455,Gabriel Landeskog,COL,L,60,14,21,35,Stockholm,SWE,1992-11-23,,2.0,1.0,2011.0,20112012,73,N,Landeskog,SWE,L,215,2025-2026,798,262,344,606
8474150,Mikael Backlund,CGY,C,82,17,26,43,Vasteras,SWE,1989-03-17,,24.0,1.0,2007.0,20082009,72,N,Backlund,SWE,L,206,2025-2026,1148,232,374,606
8470041,Rick Nash,"NYR,BOS",L,71,21,13,34,Brampton,CAN,1984-06-16,ON,1.0,1.0,2002.0,20022003,76,N,Nash,CAN,L,211,2017-2018,777,321,277,598
8479343,Clayton Keller,UTA,R,82,26,62,88,Chesterfield,USA,1998-07-29,MO,7.0,1.0,2016.0,20162017,70,N,Keller,USA,L,175,2025-2026,683,222,374,596
8479337,Alex DeBrincat,DET,R,82,41,44,85,Farmington Hills,USA,1997-12-18,MI,39.0,2.0,2016.0,20172018,68,N,DeBrincat,USA,R,180,2025-2026,696,294,301,595
8470626,Loui Eriksson,ARI,L,73,3,16,19,Gothenburg,SWE,1985-07-17,,33.0,2.0,2003.0,20062007,74,N,Eriksson,SWE,L,179,2021-2022,991,247,347,594
8470281,Duncan Keith,EDM,D,64,1,20,21,Winnipeg,CAN,1983-07-16,MB,54.0,2.0,2002.0,20052006,73,Y,Keith,CAN,L,192,2021-2022,1093,95,499,594
8477940,Nikolaj Ehlers,CAR,L,82,26,45,71,Aalborg,DNK,1996-02-14,,9.0,1.0,2014.0,20152016,72,N,Ehlers,DNK,L,168,2025-2026,756,251,340,591
8467514,Pavel Datsyuk,DET,C,66,16,33,49,Sverdlovsk,RUS,1978-07-20,,171.0,6.0,1998.0,20012002,71,Y,Datsyuk,RUS,L,194,2015-2016,590,206,384,590
8473473,Milan Lucic,BOS,L,4,0,2,2,Vancouver,CAN,1988-06-07,BC,50.0,2.0,2006.0,20072008,75,N,Lucic,CAN,L,236,2023-2024,1177,233,353,586
8467371,Mike Ribeiro,NSH,C,46,4,21,25,Montréal,CAN,1980-02-10,QC,45.0,2.0,1998.0,19992000,72,N,Ribeiro,CAN,L,179,2016-2017,717,160,421,581
8474573,Josh Bailey,NYI,R,64,8,17,25,Bowmanville,CAN,1989-10-02,ON,9.0,1.0,2008.0,20082009,73,N,Bailey,CAN,L,200,2022-2023,1057,184,396,580
8475191,Reilly Smith,VGK,R,69,16,10,26,Mimico,CAN,1991-04-01,ON,69.0,3.0,2009.0,20112012,73,N,Smith,CAN,L,185,2025-2026,988,242,337,579
8476461,Sean Couturier,PHI,C,78,12,24,36,Phoenix,USA,1992-12-07,AZ,8.0,1.0,2011.0,20112012,76,N,Couturier,CAN,L,210,2025-2026,952,218,361,579
8475793,Ryan Johansen,COL,C,63,13,10,23,Vancouver,CAN,1992-07-31,BC,4.0,1.0,2010.0,20112012,75,N,Johansen,CAN,R,218,2023-2024,905,202,376,578
8475744,Evgeny Kuznetsov,"WSH,CAR",C,63,8,16,24,Chelyabinsk,RUS,1992-05-19,,26.0,1.0,2010.0,20132014,74,N,Kuznetsov,RUS,L,207,2023-2024,743,173,402,575
8476539,Jonathan Marchessault,NSH,R,62,12,19,31,Cap-Rouge,CAN,1990-12-27,QC,,,,20122013,69,N,Marchessault,CAN,R,185,2025-2026,778,263,311,574
8474641,Adam Henrique,EDM,C,65,3,12,15,Brantford,CAN,1990-02-06,ON,82.0,3.0,2008.0,20102011,72,N,Henrique,CAN,L,195,2025-2026,1058,278,294,572
8473986,Alex Killorn,ANA,L,82,15,18,33,Halifax,CAN,1989-09-14,NS,77.0,3.0,2007.0,20122013,73,N,Killorn,CAN,L,205,2025-2026,1032,250,322,572
8471676,Bobby Ryan,DET,R,33,7,7,14,Cherry Hill,USA,1987-03-17,NJ,2.0,1.0,2005.0,20072008,74,N,Ryan,USA,R,208,2020-2021,866,261,308,569
8476483,Rickard Rakell,PIT,R,60,24,24,48,Sundbyberg,SWE,1993-05-05,,30.0,1.0,2011.0,20122013,73,N,Rakell,SWE,R,194,2025-2026,862,260,307,567
8475149,Marcus Johansson,MIN,L,75,15,34,49,Landskrona,SWE,1990-10-06,,24.0,1.0,2009.0,20102011,73,N,Johansson,SWE,L,203,2025-2026,1058,200,366,566
8470966,Mark Giordano,TOR,D,46,3,6,9,Toronto,CAN,1983-10-03,ON,,,,20052006,72,N,Giordano,CAN,L,202,2023-2024,1093,151,410,561
8471707,James Neal,STL,L,19,2,2,4,Whitby,CAN,1987-09-03,ON,33.0,2.0,2005.0,20082009,75,N,Neal,CAN,L,212,2021-2022,869,296,263,559
8475768,Jaden Schwartz,SEA,L,50,11,15,26,Wilcox,CAN,1992-06-25,SK,14.0,1.0,2010.0,20112012,70,N,Schwartz,CAN,L,185,2025-2026,861,233,320,553
8466148,Marian Hossa,CHI,R,73,26,19,45,Stará Lubovna,SVK,1979-01-12,,12.0,1.0,1997.0,19971998,73,Y,Hossa,SVK,L,207,2016-2017,680,255,297,552
8476882,Teuvo Teravainen,CHI,C,75,14,21,35,Helsinki,FIN,1994-09-11,,18.0,1.0,2012.0,20132014,71,N,Teravainen,FIN,L,191,2025-2026,827,184,368,552
8475314,Anders Lee,NYI,L,82,19,23,42,Edina,USA,1990-07-03,MN,152.0,6.0,2009.0,20122013,75,N,Lee,USA,L,234,2025-2026,923,308,241,549
8476853,Morgan Rielly,TOR,D,78,11,25,36,Vancouver,CAN,1994-03-09,BC,5.0,1.0,2012.0,20132014,73,N,Rielly,CAN,L,219,2025-2026,951,98,451,549
8469544,Patrick Sharp,CHI,L,70,10,11,21,Winnipeg,CAN,1981-12-27,MB,95.0,3.0,2001.0,20022003,73,N,Sharp,CAN,R,200,2017-2018,743,248,299,547
8475151,Kyle Palmieri,NYI,C,25,6,12,18,Smithtown,USA,1991-02-01,NY,26.0,1.0,2009.0,20102011,72,N,Palmieri,USA,R,192,2025-2026,925,276,269,545
8473544,Derick Brassard,OTT,C,62,13,10,23,Hull,CAN,1987-09-22,QC,6.0,1.0,2006.0,20072008,73,N,Brassard,CAN,L,200,2022-2023,1013,215,330,545
8478439,Travis Konecny,PHI,R,77,27,41,68,London,CAN,1997-03-11,ON,24.0,1.0,2015.0,20162017,70,N,Konecny,CAN,R,192,2025-2026,723,225,319,544
8471887,Patric Hornqvist,FLA,R,22,1,2,3,Sollentuna,SWE,1987-01-01,,230.0,7.0,2005.0,20082009,71,N,Hornqvist,SWE,R,189,2022-2023,901,264,279,543
8474679,Gustav Nyquist,WPG,R,51,1,11,12,Halmstad,SWE,1989-09-01,,121.0,4.0,2008.0,20112012,71,N,Nyquist,SWE,L,180,2025-2026,914,210,333,543
8475745,Charlie Coyle,CBJ,C,82,20,38,58,East Weymouth,USA,1992-03-02,MA,28.0,1.0,2010.0,20122013,75,N,Coyle,USA,R,221,2025-2026,1032,209,334,543
8470257,Alexander Steen,STL,L,55,7,10,17,Winnipeg,CAN,1984-03-01,MB,24.0,1.0,2002.0,20052006,72,N,Steen,SWE,L,211,2019-2020,861,212,330,542
8476462,Dougie Hamilton,NJD,D,77,12,27,39,Toronto,CAN,1993-06-17,ON,9.0,1.0,2011.0,20122013,78,N,Hamilton,CAN,R,230,2025-2026,912,163,377,540
8470642,Shea Weber,MTL,D,48,6,13,19,Sicamous,CAN,1985-08-14,BC,49.0,2.0,2003.0,20052006,76,Y,Weber,CAN,R,230,2020-2021,931,205,334,539
8475171,Oliver Ekman-Larsson,TOR,D,78,8,31,39,Karlskrona,SWE,1991-07-17,,6.0,1.0,2009.0,20102011,74,N,Ekman-Larsson,SWE,L,190,2025-2026,1137,156,383,539
8476438,Brandon Saad,VGK,L,49,3,6,9,Pittsburgh,USA,1992-10-27,PA,43.0,2.0,2011.0,20112012,73,N,Saad,USA,L,207,2025-2026,984,269,269,538
8470655,David Backes,ANA,R,15,3,1,4,Minneapolis,USA,1984-05-01,MN,62.0,2.0,2003.0,20062007,75,N,Backes,USA,R,215,2020-2021,916,238,300,538
8478445,Mathew Barzal,NYI,C,81,19,53,72,Coquitlam,CAN,1997-05-26,BC,16.0,1.0,2015.0,20162017,73,N,Barzal,CAN,R,186,2025-2026,611,153,381,534
