,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
18,Shawn Thornton,FLA,L,46,1977-07-23,Oshawa,ON,CAN,CAN,74,217,1997,TOR,7,29,190
19,Joe Thornton,S.J,C,44,1979-07-02,London,ON,CAN,CAN,76,220,1997,BOS,1,1,1
20,Patrick Marleau,S.J,"C, L",44,1979-09-15,Aneroid,SK,CAN,CAN,74,215,1997,S.J,1,2,2
21,Olli Jokinen,"NSH, STL, TOR",C,45,1978-12-05,Kuopio,,FIN,FIN,74,210,1997,L.A,1,3,3
22,Eric Brewer,"ANA, T.B, TOR",D,44,1979-04-17,Vernon,BC,CAN,CAN,76,216,1997,NYI,1,5,5
23,Marian Hossa,CHI,R,44,1979-01-12,Stará Lubovna,,SVK,SVK,73,207,1997,OTT,1,12,12
24,Daniel Cleary,DET,R,44,1978-12-18,Carbonear,NL,CAN,CAN,73,205,1997,CHI,1,13,13
25,Scott Hannan,S.J,D,44,1979-01-23,Richmond,BC,CAN,CAN,73,215,1997,S.J,1,23,23
26,Brenden Morrow,T.B,L,44,1979-01-16,Carlyle,SK,CAN,CAN,71,212,1997,DAL,1,25,25
27,Jason Chimera,WSH,L,44,1979-05-02,Edmonton,AB,CAN,CAN,75,215,1997,EDM,5,15,121
28,Brian Campbell,FLA,D,44,1979-05-23,Strathroy,ON,CAN,CAN,70,192,1997,BUF,6,22,156
29,Andrew Ference,EDM,D,44,1979-03-17,Edmonton,AB,CAN,CAN,71,182,1997,PIT,8,18,208
30,Martin St. Louis,NYR,R,48,1975-06-18,Laval,QC,CAN,CAN,68,180,-,-,-,-,-
31,Pascal Dupuis,PIT,R,44,1979-04-07,Laval,QC,CAN,CAN,73,205,-,-,-,-,-
32,Dan Boyle,NYR,D,47,1976-07-12,Ottawa,ON,CAN,CAN,71,194,-,-,-,-,-
33,Vincent Lecavalier,PHI,C,43,1980-04-21,Ile Bizard,QC,CAN,CAN,76,215,1998,T.B,1,1,1
34,David Legwand,OTT,C,43,1980-08-17,Detroit,MI,USA,USA,74,207,1998,NSH,1,2,2
35,Brad Stuart,COL,D,44,1979-11-06,Rocky Mountain House,AB,CAN,CAN,74,215,1998,S.J,1,3,3
36,Bryan Allen,"ANA, MTL",D,43,1980-08-21,Kingston,ON,CAN,CAN,77,223,1998,VAN,1,4,4
37,Manny Malhotra,MTL,C,43,1980-05-18,Mississauga,ON,CAN,CAN,74,207,1998,NYR,1,7,7
38,Alex Tanguay,COL,L,44,1979-11-21,Ste-Justine,QC,CAN,CAN,73,194,1998,COL,1,12,12
39,Robyn Regehr,L.A,D,43,1980-04-19,Recife,,BRA,CAN,75,222,1998,COL,1,19,19
40,Simon Gagne,BOS,L,43,1980-02-29,Ste. Foy,QC,CAN,CAN,73,195,1998,PHI,1,22,22
41,Scott Gomez,N.J,C,43,1979-12-23,Anchorage,AK,USA,USA,71,200,1998,N.J,1,27,27
42,Mike Fisher,NSH,C,43,1980-06-05,Peterborough,ON,CAN,CAN,73,216,1998,OTT,2,17,44
43,Mike Ribeiro,NSH,C,43,1980-02-10,Montreal,QC,CAN,CAN,72,179,1998,MTL,2,18,45
44,Brad Richards,CHI,C,43,1980-05-02,Murray Hbr.,PE,CAN,CAN,72,199,1998,T.B,3,6,64
45,Erik Cole,"DAL, DET",L,45,1978-11-06,Oswego,NY,USA,USA,74,205,1998,CAR,3,13,71
46,Francois Beauchemin,ANA,D,43,1980-06-04,Sorel,QC,CAN,CAN,71,208,1998,MTL,3,17,75
47,Brian Gionta,BUF,R,44,1979-01-18,Rochester,NY,USA,USA,67,178,1998,N.J,3,24,82
48,Shawn Horcoff,DAL,C,45,1978-09-17,Trail,BC,CAN,CAN,73,210,1998,EDM,4,13,99
49,Rob Scuderi,PIT,D,44,1978-12-30,Syosset,NY,USA,USA,73,216,1998,PIT,5,20,134
50,Chris Neil,OTT,R,44,1979-06-18,Flesherton,ON,CAN,CAN,73,209,1998,OTT,6,16,161
51,Andrei Markov,MTL,D,44,1978-12-20,Voskresensk,,RUS,RUS,72,200,1998,MTL,6,17,162
52,Pavel Datsyuk,DET,C,45,1978-07-20,Sverdlovsk,,RUS,RUS,71,188,1998,DET,6,26,171
53,Michael Ryder,N.J,R,43,1980-03-31,Bonavista,NL,CAN,CAN,73,200,1998,MTL,8,16,216
54,Daniel Sedin,VAN,L,43,1980-09-26,Ornskoldsvik,,SWE,SWE,73,190,1999,VAN,1,2,2
55,Henrik Sedin,VAN,C,43,1980-09-26,Ornskoldsvik,,SWE,SWE,74,183,1999,VAN,1,3,3
56,Barret Jackman,STL,D,42,1981-03-05,Trail,BC,CAN,CAN,72,203,1999,STL,1,17,17
57,Martin Havlat,N.J,R,42,1981-04-19,Mlada Boleslav,,CZE,CZE,74,210,1999,OTT,1,26,26
58,Jordan Leopold,"CBJ, MIN, STL",D,43,1980-08-03,Golden Valley,MN,USA,USA,73,206,1999,ANA,2,16,44
59,Chris Kelly,BOS,C,43,1980-11-11,Toronto,ON,CAN,CAN,72,190,1999,OTT,3,28,94
60,Brian McGrattan,CGY,R,42,1981-09-02,Hamilton,ON,CAN,CAN,76,235,1999,L.A,4,8,104
61,Ryan Malone,NYR,L,44,1979-12-01,Pittsburgh,PA,USA,USA,76,224,1999,PIT,4,19,115
62,Derek MacKenzie,FLA,C,42,1981-06-11,Sudbury,ON,CAN,CAN,71,177,1999,ATL,5,2,128
63,Martin Erat,ARI,R,42,1981-08-29,Trebic,,CZE,CZE,72,196,1999,NSH,7,5,191
64,Henrik Zetterberg,DET,L,43,1980-10-09,Njurunda,,SWE,SWE,72,197,1999,DET,7,24,210
65,Radim Vrbata,VAN,R,42,1981-06-13,Mlada Boleslav,,CZE,CZE,73,194,1999,COL,7,26,212
66,Joel Ward,WSH,R,43,1980-12-02,North York,ON,CAN,CAN,73,225,-,-,-,-,-
67,Mark Streit,PHI,D,46,1977-12-11,Bern,,CHE,CHE,71,186,2004,MTL,9,4,262
68,Mike Weaver,MTL,D,45,1978-05-02,Brampton,ON,CAN,CAN,70,186,-,-,-,-,-
69,Dany Heatley,ANA,L,42,1981-01-21,Freiburg,,DEU,CAN,75,212,2000,ATL,1,2,2
70,Marian Gaborik,L.A,R,41,1982-02-14,Trencin,,SVK,SVK,73,200,2000,MIN,1,3,3
71,Scott Hartnell,CBJ,L,41,1982-04-18,Regina,SK,CAN,CAN,74,215,2000,NSH,1,6,6
72,Ron Hainsey,CAR,D,42,1981-03-24,Bolton,CT,USA,USA,75,201,2000,MTL,1,13,13
73,Brooks Orpik,WSH,D,43,1980-09-26,San Francisco,CA,USA,USA,75,217,2000,PIT,1,18,18
74,Anton Volchenkov,NSH,D,41,1982-02-25,Moscow,,RUS,RUS,73,220,2000,OTT,1,21,21
75,Brad Boyes,FLA,R,41,1982-04-17,Mississauga,ON,CAN,CAN,72,199,2000,TOR,1,24,24
76,Steve Ott,STL,C,41,1982-08-19,Summerside,PE,CAN,CAN,72,193,2000,DAL,1,25,25
77,Justin Williams,L.A,R,42,1981-10-04,Cobourg,ON,CAN,CAN,73,184,2000,PHI,1,28,28
78,Niklas Kronwall,DET,D,42,1981-01-12,Stockholm,,SWE,SWE,72,194,2000,DET,1,29,29
79,Nick Schultz,PHI,D,41,1982-08-25,Strasbourg,SK,CAN,CAN,73,203,2000,MIN,2,3,33
80,Tomas Kopecky,FLA,R,41,1982-02-05,Ilava,,SVK,SVK,75,210,2000,DET,2,8,38
81,Jarret Stoll,L.A,C,41,1982-06-24,Melville,SK,CAN,CAN,73,216,2002,EDM,2,6,36
82,Antoine Vermette,"ARI, CHI",C,41,1982-07-20,St. Agapit,QC,CAN,CAN,73,197,2000,OTT,2,25,55
83,Paul Martin,PIT,D,42,1981-03-05,Minneapolis,MN,USA,USA,73,200,2000,N.J,2,32,62
84,Dominic Moore,NYR,C,43,1980-08-03,Thornhill,ON,CAN,CAN,72,192,2000,NYR,3,30,95
85,Lubomir Visnovsky,NYI,D,47,1976-08-11,Topolcany,,SVK,SVK,70,192,2000,L.A,4,22,118
86,Matt Hendricks,EDM,L,42,1981-06-17,Blaine,MN,USA,USA,72,211,2000,NSH,5,1,131
87,Travis Moen,"DAL, MTL",L,41,1982-04-06,Stewart Valley,SK,CAN,CAN,74,215,2000,CGY,5,25,155
88,John-Michael Liles,CAR,D,43,1980-11-25,Indianapolis,IN,USA,USA,70,185,2000,COL,5,29,159
89,Deryk Engelland,CGY,D,41,1982-04-03,Edmonton,AB,CAN,CAN,74,212,2000,N.J,6,27,194
90,Paul Gaustad,NSH,C,41,1982-02-03,Fargo,ND,USA,USA,77,227,2000,BUF,7,23,220
91,Colton Orr,TOR,R,41,1982-03-03,Winnipeg,MB,CAN,CAN,75,222,-,-,-,-,-
92,Jason Spezza,DAL,C,40,1983-06-13,Toronto,ON,CAN,CAN,75,219,2001,OTT,1,2,2
93,Stephen Weiss,DET,C,40,1983-04-03,Toronto,ON,CAN,CAN,71,190,2001,FLA,1,4,4
94,Mikko Koivu,MIN,C,40,1983-03-12,Turku,,FIN,FIN,75,213,2001,MIN,1,6,6
95,Tuomo Ruutu,N.J,L,40,1983-02-16,Vantaa,,FIN,FIN,72,200,2001,CHI,1,9,9
96,Dan Hamhuis,VAN,D,41,1982-12-13,Smithers,BC,CAN,CAN,73,204,2001,NSH,1,12,12
97,Ales Hemsky,DAL,R,40,1983-08-13,Pardubice,,CZE,CZE,72,177,2001,EDM,1,13,13
98,R.J. Umberger,PHI,C,41,1982-05-03,Pittsburgh,PA,USA,USA,74,214,2001,VAN,1,16,16
99,Carlo Colaiacovo,PHI,D,40,1983-01-27,Toronto,ON,CAN,CAN,73,202,2001,TOR,1,17,17
100,Marcel Goc,"PIT, STL",C,40,1983-08-24,Calw,,DEU,DEU,73,197,2001,S.J,1,20,20
101,Tim Gleason,"CAR, WSH",D,40,1983-01-29,Clawson,MI,USA,USA,72,217,2001,OTT,1,23,23
102,Derek Roy,"EDM, NSH",C,40,1983-05-04,Ottawa,ON,CAN,CAN,69,184,2001,BUF,2,2,32
103,Tim Jackman,ANA,R,42,1981-11-14,Minot,ND,USA,USA,74,188,2001,CBJ,2,8,38
104,Fedor Tyutin,CBJ,D,40,1983-07-19,Izhevsk,,RUS,RUS,74,221,2001,NYR,2,10,40
105,Mike Cammalleri,N.J,L,41,1982-06-08,Toronto,ON,CAN,CAN,69,185,2001,L.A,2,19,49
106,Chris Thorburn,WPG,R,40,1983-06-03,Sault Ste. Marie,ON,CAN,CAN,75,235,2001,BUF,2,20,50
107,Jason Pominville,MIN,R,41,1982-11-30,Repentigny,QC,CAN,USA,72,180,2001,BUF,2,25,55
108,Jay McClement,CAR,C,40,1983-03-02,Kingston,ON,CAN,CAN,73,205,2001,STL,2,27,57
109,Tomas Plekanec,MTL,C,41,1982-10-31,Kladno,,CZE,CZE,71,190,2001,MTL,3,8,71
110,Jay Harrison,"CAR, WPG",D,41,1982-11-03,Oshawa,ON,CAN,CAN,76,188,2001,TOR,3,19,82
111,Stephane Veilleux,MIN,L,42,1981-11-16,Beauceville,QC,CAN,CAN,73,200,2001,MIN,3,30,93
112,Patrick Sharp,CHI,L,41,1981-12-27,Winnipeg,MB,CAN,CAN,73,200,2001,PHI,3,32,95
113,Jordin Tootoo,N.J,R,40,1983-02-02,Churchill,MB,CAN,CAN,69,195,2001,NSH,4,2,98
114,Christian Ehrhoff,PIT,D,41,1982-07-06,Moers,,DEU,DEU,74,201,2001,S.J,4,10,106
115,Cody McCormick,BUF,C,40,1983-04-18,London,ON,CAN,CAN,74,222,2001,COL,5,13,144
116,Kevin Bieksa,VAN,D,42,1981-06-16,Grimsby,ON,CAN,CAN,73,197,2001,VAN,5,20,151
117,Dennis Seidenberg,BOS,D,42,1981-07-18,Schwenningen,,DEU,DEU,72,199,2001,PHI,6,7,172
118,Ryane Clowe,N.J,L,41,1982-09-30,St. John's,NL,CAN,CAN,75,188,2001,S.J,6,10,175
119,Marek Zidlicky,"DET, N.J",D,46,1977-02-03,Most,,CZE,CZE,71,190,2001,NYR,6,11,176
120,Jussi Jokinen,FLA,L,40,1983-04-01,Kalajoki,,FIN,FIN,72,191,2001,DAL,6,27,192
121,Brooks Laich,WSH,C,40,1983-06-23,Wawota,SK,CAN,CAN,74,200,2001,OTT,6,28,193
122,David Moss,ARI,R,41,1981-12-28,Livonia,MI,USA,USA,76,210,2001,CGY,7,24,220
123,Johnny Oduya,CHI,D,42,1981-10-01,Stockholm,,SWE,SWE,72,191,2001,WSH,7,25,221
124,PA Parenteau,MTL,R,40,1983-03-24,Hull,QC,CAN,CAN,72,200,2001,ANA,9,5,264
125,Vernon Fiddler,DAL,C,43,1980-05-09,Edmonton,AB,CAN,CAN,71,205,-,-,-,-,-
126,Zbynek Michalek,"ARI, STL",D,40,1982-12-23,Jindrichuv Hradec,,CZE,CZE,74,210,-,-,-,-,-
127,Dennis Wideman,CGY,D,40,1983-03-20,Kitchener,ON,CAN,CAN,72,202,2002,BUF,8,12,241
128,Matt Ellis,BUF,L,42,1981-08-31,Welland,ON,CAN,CAN,72,208,-,-,-,-,-
129,Tomas Fleischmann,"ANA, FLA",L,39,1984-05-16,Koprivnice,,CZE,CZE,73,192,2002,DET,2,33,63
130,Rick Nash,NYR,R,39,1984-06-16,Brampton,ON,CAN,CAN,76,211,2002,CBJ,1,1,1
131,Valtteri Filppula,T.B,C,39,1984-03-20,Vantaa,,FIN,FIN,72,189,2002,DET,3,32,95
132,Keith Ballard,MIN,D,41,1982-11-26,Baudette,MN,USA,USA,71,204,2002,BUF,1,11,11
133,Adam Burish,S.J,R,40,1983-01-06,Madison,WI,USA,USA,73,195,2002,CHI,9,22,282
134,Ryan Craig,CBJ,C,41,1982-01-06,Abbotsford,BC,CAN,CAN,74,213,2002,T.B,8,26,255
135,Tom Gilbert,MTL,D,40,1983-01-10,Bloomington,MN,USA,USA,74,210,2002,COL,4,33,129
136,Scottie Upshall,FLA,R,40,1983-10-07,Fort McMurray,AB,CAN,CAN,72,200,2002,NSH,1,6,6
137,Trevor Daley,DAL,D,40,1983-10-09,Toronto,ON,CAN,CAN,71,199,2002,DAL,2,13,43
138,Alexander Semin,CAR,R,39,1984-03-03,Krasnojarsk,,RUS,RUS,74,211,2002,WSH,1,13,13
139,Matt Greene,L.A,D,40,1983-05-13,Grand Ledge,MI,USA,USA,75,236,2002,EDM,2,14,44
140,Frans Nielsen,NYI,C,39,1984-04-24,Herning,,DNK,DNK,73,186,2002,NYI,3,24,87
141,Jay Bouwmeester,STL,D,40,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,FLA,1,3,3
142,Joakim Lindstrom,"STL, TOR",C,40,1983-12-05,Skellefteå,,SWE,SWE,72,187,2002,CBJ,2,11,41
143,Boyd Gordon,EDM,C,40,1983-10-19,Unity,SK,CAN,CAN,72,200,2002,WSH,1,17,17
144,Matt Stajan,CGY,C,39,1983-12-19,Mississauga,ON,CAN,CAN,73,195,2002,TOR,2,27,57
145,Gregory Campbell,BOS,C,39,1983-12-17,London,ON,CAN,CAN,72,188,2002,FLA,3,4,67
146,Max Talbot,"BOS, COL",C,39,1984-02-11,Lemoyne,QC,CAN,CAN,71,186,2002,PIT,8,5,234
147,Sean Bergenheim,"FLA, MIN",L,39,1984-02-08,Helsinki,,FIN,FIN,71,201,2002,NYI,1,22,22
148,Eric Nystrom,NSH,L,40,1983-02-14,Syosset,NY,USA,USA,73,200,2002,CGY,1,10,10
149,Johnny Boychuk,NYI,D,39,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,COL,2,31,61
150,David Van Der Gulik,L.A,L,40,1983-04-20,Abbotsford,BC,CAN,CAN,70,173,2002,CGY,7,9,206
151,Jiri Hudler,CGY,R,39,1984-01-04,Olomouc,,CZE,CZE,70,190,2002,DET,2,28,58
152,Joffrey Lupul,TOR,L,40,1983-09-23,Fort Saskatchewan,AB,CAN,CAN,73,206,2002,ANA,1,7,7
153,James Wisniewski,"ANA, CBJ",D,39,1984-02-21,Canton,MI,USA,USA,71,203,2002,CHI,5,25,156
154,Daniel Paille,BOS,L,39,1984-04-15,Welland,ON,CAN,CAN,73,188,2002,BUF,1,20,20
155,Alexander Steen,STL,L,39,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,TOR,1,24,24
156,Chris Higgins,VAN,L,40,1983-06-02,Smithtown,NY,USA,USA,72,205,2002,MTL,1,14,14
157,Duncan Keith,CHI,D,40,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,CHI,2,24,54
158,Jim Slater,WPG,C,41,1982-12-09,Lapeer,MI,USA,USA,72,195,2002,ATL,1,30,30
159,Patrick Dwyer,CAR,R,40,1983-06-22,Spokane,WA,USA,USA,71,175,2002,ATL,4,20,116
160,Nate Guenin,COL,D,41,1982-12-10,Aliquippa,PA,USA,USA,75,207,2002,NYR,4,31,127
161,Jonathan Ericsson,DET,D,39,1984-03-02,Karlskrona,,SWE,SWE,76,218,2002,DET,9,31,291
162,Josh Gorges,BUF,D,39,1984-08-14,Kelowna,BC,CAN,CAN,73,204,-,-,-,-,-
163,Alexandre Burrows,VAN,L,42,1981-04-11,Pincourt,QC,CAN,CAN,73,197,-,-,-,-,-
164,Andre Benoit,BUF,D,39,1984-01-06,St. Albert,ON,CAN,CAN,71,190,-,-,-,-,-
165,Chris Kunitz,PIT,L,44,1979-09-26,Regina,SK,CAN,CAN,72,188,-,-,-,-,-
166,Eric Staal,CAR,C,39,1984-10-29,Thunder Bay,ON,CAN,CAN,76,195,2003,CAR,1,2,2
167,Thomas Vanek,MIN,L,39,1984-01-19,Vienna,,AUT,AUT,74,214,2003,BUF,1,5,5
168,Milan Michalek,OTT,L,39,1984-12-07,Jindrichuv Hradec,,CZE,CZE,74,225,2003,S.J,1,6,6
169,Ryan Suter,MIN,D,38,1985-01-21,Madison,WI,USA,USA,73,205,2003,NSH,1,7,7
170,Braydon Coburn,"PHI, T.B",D,38,1985-02-27,Shaunavon,SK,CAN,CAN,77,224,2003,ATL,1,8,8
171,Dion Phaneuf,TOR,D,38,1985-04-10,Edmonton,AB,CAN,CAN,75,222,2003,CGY,1,9,9
172,Jeff Carter,L.A,C,38,1985-01-01,London,ON,CAN,CAN,75,219,2003,PHI,1,11,11
173,Dustin Brown,L.A,R,39,1984-11-04,Ithaca,NY,USA,USA,72,205,2003,L.A,1,13,13
174,Brent Seabrook,CHI,D,38,1985-04-20,Richmond,BC,CAN,CAN,75,220,2003,CHI,1,14,14
175,Steve Bernier,N.J,R,38,1985-03-31,Quebec City,QC,CAN,CAN,75,222,2003,S.J,1,16,16
176,Zach Parise,MIN,L,39,1984-07-28,Minneapolis,MN,USA,USA,71,195,2003,N.J,1,17,17
177,Eric Fehr,WSH,C,38,1985-09-07,Winkler,MB,CAN,CAN,76,209,2003,WSH,1,18,18
178,Ryan Getzlaf,ANA,C,38,1985-05-10,Regina,SK,CAN,CAN,76,220,2003,ANA,1,19,19
179,Brent Burns,S.J,D,38,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,MIN,1,20,20
180,Mark Stuart,WPG,D,39,1984-04-27,Rochester,MN,USA,USA,74,215,2003,BOS,1,21,21
181,Ryan Kesler,ANA,C,39,1984-08-31,Livonia,MI,USA,USA,74,206,2003,VAN,1,23,23
182,Mike Richards,L.A,C,38,1985-02-11,Kenora,ON,CAN,CAN,71,196,2003,PHI,1,24,24
183,Brian Boyle,T.B,C,38,1984-12-18,Hingham,MA,USA,USA,78,245,2003,L.A,1,26,26
184,Corey Perry,ANA,R,38,1985-05-16,Peterborough,ON,CAN,CAN,75,208,2003,ANA,1,28,28
185,Patrick Eaves,DAL,R,39,1984-05-01,Calgary,AB,CAN,USA,70,203,2003,OTT,1,29,29
186,Loui Eriksson,BOS,L,38,1985-07-17,Gothenburg,,SWE,SWE,74,179,2003,DAL,2,3,33
187,Kevin Klein,NYR,D,39,1984-12-13,Kitchener,ON,CAN,CAN,73,206,2003,NSH,2,7,37
188,Patrice Bergeron,BOS,C,38,1985-07-24,Ancienne-Lorette,QC,CAN,CAN,73,196,2003,BOS,2,15,45
189,Matt Carle,T.B,D,39,1984-09-25,Anchorage,AK,USA,USA,72,197,2003,S.J,2,17,47
190,Shea Weber,NSH,D,38,1985-08-14,Sicamous,BC,CAN,CAN,76,230,2003,NSH,2,19,49
191,Colin McDonald,NYI,R,39,1984-09-30,Wethersfield,CT,USA,USA,74,219,2003,EDM,2,21,51
192,B.J. Crombeen,ARI,R,38,1985-07-10,Denver,CO,USA,USA,74,209,2003,DAL,2,24,54
193,Maxim Lapierre,"PIT, STL",C,38,1985-03-29,Saint-Léonard,QC,CAN,CAN,74,215,2003,MTL,2,31,61
194,David Backes,STL,R,39,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,STL,2,32,62
195,Colin Fraser,STL,C,38,1985-01-28,Sicamous,BC,CAN,CAN,73,190,2003,PHI,3,1,69
196,Daniel Carcillo,CHI,L,38,1985-01-28,King City,ON,CAN,CAN,72,200,2003,PIT,3,5,73
197,Clarke MacArthur,OTT,L,38,1985-04-06,Lloydminster,AB,CAN,CAN,72,192,2003,BUF,3,6,74
198,Jan Hejda,COL,D,45,1978-06-18,Prague,,CZE,CZE,76,230,2003,BUF,4,5,106
199,Corey Potter,CGY,D,39,1984-01-05,Lansing,MI,USA,USA,75,204,2003,NYR,4,21,122
200,Alexandre Bolduc,ARI,C,38,1985-06-26,Montreal,QC,CAN,CAN,75,200,2003,STL,4,26,127
201,Kyle Quincey,DET,D,38,1985-08-12,Kitchener,ON,CAN,CAN,74,210,2003,DET,4,31,132
202,Tyson Strachan,BUF,D,39,1984-10-30,Melfort,SK,CAN,CAN,75,210,2003,CAR,5,1,137
203,Lee Stempniak,"NYR, WPG",R,40,1983-02-04,West Seneca,NY,USA,USA,71,195,2003,STL,5,12,148
204,John Mitchell,COL,C,38,1985-01-22,Oakville,ON,CAN,CAN,73,204,2003,TOR,5,22,158
205,Brad Richardson,VAN,"C, R",38,1985-02-04,Belleville,ON,CAN,CAN,72,190,2003,COL,5,27,163
206,Marc Methot,OTT,D,38,1985-06-21,Ottawa,ON,CAN,CAN,76,230,2003,CBJ,6,1,168
207,Nate Thompson,ANA,C,39,1984-10-05,Anchorage,AK,USA,USA,73,205,2003,BOS,6,16,183
208,Drew Miller,DET,L,39,1984-02-17,Dover,NJ,USA,USA,74,183,2003,ANA,6,19,186
209,Joe Pavelski,S.J,C,39,1984-07-11,Plover,WI,USA,USA,71,200,2003,S.J,7,8,205
210,Dylan Reese,ARI,D,39,1984-08-29,Pittsburgh,PA,USA,USA,73,205,2003,NYR,7,12,209
211,Kyle Brodziak,MIN,C,39,1984-05-25,St. Paul,AB,CAN,CAN,74,205,2003,EDM,7,17,214
212,Toby Enstrom,WPG,D,39,1984-11-05,Nordingra,,SWE,SWE,70,180,2003,ATL,8,10,239
213,Dustin Byfuglien,WPG,D,38,1985-03-27,Roseau,MN,USA,USA,77,260,2003,CHI,8,16,245
214,Shane O'Brien,FLA,D,40,1983-08-09,Port Hope,ON,CAN,CAN,75,230,2003,ANA,8,21,250
215,Matt Moulson,BUF,L,40,1983-11-01,North York,ON,CAN,CAN,73,188,2003,PIT,9,2,263
216,Tanner Glass,NYR,L,40,1983-11-29,Regina,SK,CAN,CAN,73,213,2003,FLA,9,4,265
217,Troy Bodie,TOR,R,38,1985-01-25,Portage La Prairie,MB,CAN,CAN,77,226,2003,EDM,9,17,278
218,Chris Porter,STL,L,39,1984-05-29,Toronto,ON,CAN,CAN,73,206,2003,CHI,9,21,282
219,David Jones,CGY,R,39,1984-08-10,Guelph,ON,CAN,CAN,75,208,2003,COL,9,27,288
220,Clayton Stoner,ANA,D,38,1985-02-19,Port McNeill,BC,CAN,CAN,76,216,2004,MIN,3,14,79
221,David Clarkson,"CBJ, TOR",R,39,1984-03-31,Toronto,ON,CAN,CAN,72,207,-,-,-,-,-
222,Mark Giordano,CGY,D,40,1983-10-03,Toronto,ON,CAN,CAN,72,205,-,-,-,-,-
223,Curtis Glencross,"CGY, WSH",L,40,1982-12-28,Kindersley,SK,CAN,CAN,73,197,-,-,-,-,-
224,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,,RUS,RUS,75,238,2004,WSH,1,1,1
225,Evgeni Malkin,PIT,C,37,1986-07-31,Magnitogorsk,,RUS,RUS,75,195,2004,PIT,1,2,2
226,Andrew Ladd,WPG,L,38,1985-12-12,Maple Ridge,BC,CAN,CAN,75,205,2004,CAR,1,4,4
227,Blake Wheeler,WPG,R,37,1986-08-31,Plymouth,MN,USA,USA,77,220,2004,PHX,1,5,5
228,Ladislav Smid,CGY,D,37,1986-02-01,Frydlant,,CZE,CZE,76,210,2004,ANA,1,9,9
229,Drew Stafford,"BUF, WPG",R,38,1985-10-30,Milwaukee,WI,USA,USA,74,215,2004,BUF,1,13,13
230,Kyle Chipchura,ARI,C,37,1986-02-19,Westlock,AB,CAN,CAN,74,203,2004,MTL,1,18,18
231,Lauri Korpikoski,ARI,L,37,1986-07-28,Turku,,FIN,FIN,73,193,2004,NYR,1,19,19
232,Travis Zajac,N.J,C,38,1985-05-13,Winnipeg,MB,CAN,CAN,74,185,2004,N.J,1,20,20
233,Andrej Meszaros,BUF,D,38,1985-10-13,Povaská Bystrica,,SVK,SVK,74,223,2004,OTT,1,23,23
