,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
20,Jean-Sebastien Giguere,ANA,G,46,1977-05-16,Montreal,QC,CAN,CAN,73,202,1995,HFD,1,13,13
21,Martin Biron,PHI,G,46,1977-08-15,Lac St. Charles,QC,CAN,CAN,74,186,1995,BUF,1,16,16
22,Brian Boucher,S.J,G,46,1977-01-02,Woonsocket,RI,USA,USA,74,200,1995,PHI,1,22,22
23,Marc Denis,T.B,G,46,1977-08-01,Montreal,QC,CAN,CAN,73,193,1995,COL,1,25,25
24,Jean-Sebastien Aubin,L.A,G,46,1977-07-19,Montreal,QC,CAN,CAN,71,180,1995,PIT,3,24,76
25,Vesa Toskala,TOR,G,46,1977-05-20,Tampere,,FIN,FIN,70,198,1995,S.J,4,12,90
26,Miikka Kiprusoff,CGY,G,47,1976-10-26,Turku,,FIN,FIN,73,185,1995,S.J,5,12,116
27,Chris Mason,NSH,G,47,1976-04-20,Red Deer,AB,CAN,CAN,72,198,1995,N.J,5,18,122
28,Brent Johnson,WSH,G,46,1977-03-12,Farmington,MI,USA,USA,75,199,1995,COL,5,25,129
29,Mathieu Garon,EDM,G,45,1978-01-09,Chandler,QC,CAN,CAN,73,198,1996,MTL,2,18,44
30,Steve Valiquette,NYR,G,46,1977-08-20,Etobicoke,ON,CAN,CAN,78,210,1996,L.A,8,1,190
31,Roberto Luongo,VAN,G,44,1979-04-04,Montreal,QC,CAN,CAN,75,215,1997,NYI,1,4,4
32,David Aebischer,PHX,G,45,1978-02-07,Fribourg,,CHE,CHE,73,187,1997,COL,6,27,161
33,Johan Holmqvist,"DAL, T.B",G,45,1978-05-24,Tolfta,,SWE,SWE,75,198,1997,NYR,7,14,175
34,Scott Clemmensen,TOR,G,46,1977-07-23,Des Moines,IA,USA,USA,74,200,1997,N.J,8,25,215
35,Jason LaBarbera,L.A,G,43,1980-01-18,Burnaby,BC,CAN,CAN,75,232,1998,NYR,3,8,66
36,Dany Sabourin,PIT,G,43,1980-09-02,Val D'or,QC,CAN,CAN,76,204,1998,CGY,4,22,108
37,Andrew Raycroft,TOR,G,43,1980-05-04,Belleville,ON,CAN,CAN,73,180,1998,BOS,5,21,135
38,Antero Niittymaki,PHI,G,43,1980-06-18,Turku,,FIN,FIN,73,195,1998,PHI,6,23,168
39,Alex Auld,"BOS, PHX",G,42,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,FLA,2,12,40
40,Craig Anderson,FLA,G,42,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,CHI,3,10,73
41,Ryan Miller,BUF,G,43,1980-07-17,East Lansing,MI,USA,USA,75,170,1999,BUF,5,12,138
42,Michael Leighton,CAR,G,42,1981-05-19,Petrolia,ON,CAN,CAN,75,186,1999,CHI,6,8,165
43,Curtis Sanford,VAN,G,44,1979-10-05,Owen sound,ON,CAN,CAN,71,187,-,-,-,-,-
44,Rick DiPietro,NYI,G,42,1981-09-19,Winthrop,MA,USA,USA,72,185,2000,NYI,1,1,1
45,Ilya Bryzgalov,"ANA, PHX",G,43,1980-06-22,Togliatti,,RUS,RUS,75,213,2000,ANA,2,14,44
46,Dan Ellis,NSH,G,43,1980-06-19,Saskatoon,SK,CAN,CAN,73,195,2000,DAL,2,30,60
47,Mikael Tellqvist,PHX,G,44,1979-09-19,Sundbyberg,,SWE,SWE,72,189,2000,TOR,3,5,70
48,Henrik Lundqvist,NYR,G,41,1982-03-02,Are,,SWE,SWE,73,182,2000,NYR,7,8,205
49,Ty Conklin,PIT,G,47,1976-03-30,Anchorage,AK,USA,USA,73,185,-,-,-,-,-
50,Pascal Leclaire,CBJ,G,41,1982-11-07,Repentigny,QC,CAN,CAN,74,202,2001,CBJ,1,8,8
51,Peter Budaj,COL,G,41,1982-09-18,Banská Bystrica,,SVK,SVK,73,196,2001,COL,2,33,63
52,Ray Emery,OTT,G,41,1982-09-28,Hamilton,ON,CAN,CAN,74,196,2001,OTT,4,3,99
53,Dimitri Patzold,S.J,G,40,1983-02-03,Kamenogorsk,,KAZ,DEU,72,195,2001,S.J,4,11,107
54,Drew MacIntyre,VAN,G,40,1983-06-24,Charlottetown,PE,CAN,CAN,73,188,2001,DET,4,25,121
55,Mike Smith,"DAL, T.B",G,41,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,DAL,5,30,161
56,Cristobal Huet,"MTL, WSH",G,48,1975-09-03,St-Martin-d'Hères,,FRA,FRA,73,205,2001,L.A,7,18,214
57,Martin Gerber,OTT,G,49,1974-09-03,Burgdorf,,CHE,CHE,72,205,2001,ANA,8,5,232
58,Joey MacDonald,NYI,G,43,1980-02-07,Pictou,NS,CAN,CAN,72,197,-,-,-,-,-
59,Tyler Weiman,COL,G,39,1984-06-05,Saskatoon,SK,CAN,CAN,71,180,2002,COL,5,33,164
60,Hannu Toivonen,STL,G,39,1984-05-18,Kalvola,,FIN,FIN,74,200,2002,BOS,1,29,29
61,Fredrik Norrena,CBJ,G,50,1973-11-29,Pietarsaari,,FIN,FIN,72,190,2002,T.B,7,16,213
62,Kari Lehtonen,ATL,G,40,1983-11-16,Helsinki,,FIN,FIN,76,209,2002,ATL,1,2,2
63,Curtis McElhinney,CGY,G,40,1983-05-23,London,ON,CAN,CAN,74,210,2002,CGY,6,10,176
64,Josh Harding,MIN,G,39,1984-06-18,Regina,SK,CAN,CAN,74,194,2002,MIN,2,8,38
65,Tobias Stephan,DAL,G,39,1984-01-21,Zürich,,CHE,CHE,74,180,2002,DAL,2,4,34
66,Cam Ward,CAR,G,39,1984-02-29,Saskatoon,SK,CAN,CAN,73,194,2002,CAR,1,25,25
67,Wade Dubielewicz,NYI,G,44,1979-01-30,Invermere,BC,CAN,CAN,70,185,-,-,-,-,-
68,Marc-Andre Fleury,PIT,G,39,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
69,Corey Crawford,CHI,G,38,1984-12-31,Montreal,QC,CAN,CAN,74,216,2003,CHI,2,22,52
70,Jimmy Howard,DET,G,39,1984-03-26,Syracuse,NY,USA,USA,73,218,2003,DET,2,34,64
71,Chris Beckford-Tseu,STL,G,39,1984-06-22,Toronto,ON,CAN,CAN,75,201,2003,STL,5,23,159
72,Jaroslav Halak,MTL,G,38,1985-05-13,Bratislava,,SVK,SVK,71,189,2003,MTL,9,10,271
73,Brian Elliott,OTT,G,38,1985-04-09,Newmarket,ON,CAN,CAN,74,221,2003,OTT,9,30,291
74,Marek Schwarz,STL,G,37,1986-04-01,Mlada Boleslav,,CZE,CZE,72,180,2004,STL,1,17,17
75,Daniel Lacosta,CBJ,G,37,1986-03-28,Labrador City,NL,CAN,CAN,73,186,2004,CBJ,3,28,93
76,Thomas Greiss,S.J,G,37,1986-01-29,Fussen,,DEU,DEU,74,219,2004,S.J,3,29,94
77,Karri Ramo,T.B,G,37,1986-07-01,Asikkala,,FIN,FIN,74,206,2004,T.B,6,28,191
78,Daniel Taylor,L.A,G,37,1986-04-28,Plymouth,,GBR,GBR,72,198,2004,L.A,7,28,221
79,Pekka Rinne,NSH,G,41,1982-11-03,Kempele,,FIN,FIN,77,217,2004,NSH,8,31,258
80,Carey Price,MTL,G,36,1987-08-16,Anahim Lake,BC,CAN,CAN,75,217,2005,MTL,1,5,5
81,Tuukka Rask,BOS,G,36,1987-03-10,Savonlinna,,FIN,FIN,75,176,2005,TOR,1,21,21
82,Ondrej Pavelec,ATL,G,36,1987-08-31,Kladno,,CZE,CZE,75,212,2005,ATL,2,11,41
83,Jonathan Quick,L.A,G,37,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
84,Matt Keetley,CGY,G,37,1986-04-27,Medicine Hat,AB,CAN,CAN,73,187,2005,CGY,5,33,158
85,Niklas Backstrom,MIN,G,45,1978-02-13,Helsinki,,FIN,FIN,74,192,-,-,-,-,-
86,Jonathan Bernier,L.A,G,35,1988-08-07,Laval,QC,CAN,CAN,72,185,2006,L.A,1,11,11
87,Jonas Hiller,ANA,G,41,1982-02-12,Felben Wellhausen,,CHE,CHE,74,191,-,-,-,-,-
88,Erik Ersberg,L.A,G,41,1982-03-08,Sala,,SWE,SWE,72,165,-,-,-,-,-
89,Brent Krahn,DAL,G,41,1982-04-02,Winnipeg,MB,CAN,CAN,76,232,2000,CGY,1,9,9
90,Jeff Deslauriers,EDM,G,39,1984-05-15,St-Jean-Richelieu,QC,CAN,CAN,76,203,2002,EDM,2,1,31
91,Mike McKenna,T.B,G,40,1983-04-11,St. Louis,MO,USA,USA,74,183,2002,NSH,6,6,172
92,Chris Holt,STL,G,38,1985-06-05,Vancouver,BC,CAN,CAN,75,229,2003,NYR,6,13,180
93,Yann Danis,NYI,G,42,1981-06-21,Lafontaine,QC,CAN,CAN,71,180,-,-,-,-,-
94,Al Montoya,PHX,G,38,1985-02-13,Chicago,IL,USA,USA,74,200,2004,NYR,1,6,6
95,Cory Schneider,VAN,G,37,1986-03-18,Marblehead,MA,USA,USA,75,214,2004,VAN,1,26,26
96,Justin Pogge,TOR,G,37,1986-04-22,Fort McMurray,AB,CAN,CAN,75,197,2004,TOR,3,25,90
97,Ben Bishop,STL,G,37,1986-11-21,Denver,CO,USA,USA,79,210,2005,STL,3,24,85
98,Steve Mason,CBJ,G,35,1988-05-29,Oakville,ON,CAN,CAN,76,188,2006,CBJ,3,6,69
99,Riku Helenius,T.B,G,35,1988-03-01,Palkane,,FIN,FIN,75,211,2006,T.B,1,15,15
100,Semyon Varlamov,WSH,G,35,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
101,Michal Neuvirth,WSH,G,35,1988-03-23,Ústí nad Labem,,CZE,CZE,73,209,2006,WSH,2,4,34
102,Josh Tordjman,PHX,G,38,1985-01-11,Montreal,QC,CAN,CAN,73,156,-,-,-,-,-
103,John Curry,PIT,G,39,1984-02-27,Shorewood,MN,USA,USA,71,185,-,-,-,-,-
104,Matt Climie,DAL,G,40,1983-02-11,Leduc,AB,CAN,CAN,75,194,-,-,-,-,-
105,Antti Niemi,CHI,G,40,1983-08-29,Vantaa,,FIN,FIN,74,209,-,-,-,-,-
106,Peter Mannino,NYI,G,39,1984-02-17,Farmington Hills,MI,USA,USA,73,195,-,-,-,-,-
107,Mike Brodeur,OTT,G,40,1983-03-30,Calgary,AB,CAN,CAN,74,185,2003,CHI,7,14,211
108,Matt Zaba,NYR,G,40,1983-07-14,Yorkton,SK,CAN,CAN,73,190,2003,L.A,8,2,231
109,Devan Dubnyk,EDM,G,37,1986-05-04,Regina,SK,CAN,CAN,78,224,2004,EDM,1,14,14
110,Justin Peters,CAR,G,37,1986-08-30,Blyth,ON,CAN,CAN,73,210,2004,CAR,2,8,38
111,Anton Khudobin,MIN,G,37,1986-05-07,Ust-Kamenogorsk,,KAZ,RUS,71,210,2004,MIN,7,13,206
112,Jeremy Duchesne,PHI,G,37,1986-10-17,Silver Spring,MD,USA,USA,72,201,2005,PHI,4,28,119
113,Chad Johnson,NYR,G,37,1986-06-10,Saskatoon,SK,CAN,CAN,75,197,2006,PIT,5,2,125
114,Jhonas Enroth,BUF,G,35,1988-06-25,Stockholm,,SWE,SWE,70,175,2006,BUF,2,16,46
115,Dustin Tokarski,T.B,G,34,1989-09-16,Watson,SK,CAN,CAN,72,198,2008,T.B,5,1,122
116,Alexander Pechurskiy,PIT,G,33,1990-06-04,Magnitogorsk,,RUS,RUS,72,188,2008,PIT,5,29,150
117,Johan Backlund,PHI,G,42,1981-07-24,Skellefteå,,SWE,SWE,74,198,-,-,-,-,-
118,Alexander Salak,FLA,G,36,1987-01-05,Strakonice,,CZE,CZE,73,189,-,-,-,-,-
119,Jonas Gustavsson,TOR,G,39,1984-10-24,Danderyd,,SWE,SWE,76,201,-,-,-,-,-
120,David Leneveu,CBJ,G,40,1983-05-23,Fernie,BC,CAN,CAN,73,190,2002,PHX,2,16,46
121,Alex Stalock,S.J,G,36,1987-07-28,St. Paul,MN,USA,USA,71,170,2005,S.J,4,21,112
122,James Reimer,TOR,G,35,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
123,Mark Dekanich,NSH,G,37,1986-05-10,N. Vancouver,BC,CAN,CAN,74,185,2006,NSH,5,23,146
124,Richard Bachman,DAL,G,36,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,DAL,4,27,120
125,Cedrick Desjardins,T.B,G,38,1985-09-30,Edmundston,NB,CAN,CAN,72,188,-,-,-,-,-
126,Timo Pielmeier,ANA,G,34,1989-07-07,Deggendorf,,DEU,DEU,71,175,2007,S.J,3,22,83
127,Tom McCollum,DET,G,34,1989-12-07,Amherst,NY,USA,USA,74,220,2008,DET,1,30,30
128,Jacob Markstrom,FLA,G,33,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31
129,Braden Holtby,WSH,G,34,1989-09-16,Lloydminster,SK,CAN,CAN,73,215,2008,WSH,4,2,93
130,Kevin Poulin,NYI,G,33,1990-04-12,Montreal,QC,CAN,CAN,74,206,2008,NYI,5,5,126
131,Anders Lindback,NSH,G,35,1988-05-03,Gävle,,SWE,SWE,78,215,2008,NSH,7,26,207
132,Nathan Lawson,NYI,G,40,1983-09-29,Calgary,AB,CAN,CAN,74,198,-,-,-,-,-
133,Mikko Koskinen,NYI,G,35,1988-07-18,Vantaa,,FIN,FIN,79,202,2009,NYI,2,1,31
134,Robin Lehner,OTT,G,32,1991-07-24,Gothenburg,,SWE,SWE,76,250,2009,OTT,2,16,46
135,Henrik Karlsson,CGY,G,40,1983-11-27,Tumba,,SWE,SWE,78,209,-,-,-,-,-
136,Sergei Bobrovsky,PHI,G,35,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
137,Sebastien Caron,T.B,G,43,1980-06-25,Amqui,QC,CAN,CAN,73,170,1999,PIT,3,20,86
138,Brian Foster,FLA,G,36,1987-02-04,Pembroke,NH,USA,USA,74,185,2005,FLA,5,36,161
139,Leland Irving,CGY,G,35,1988-04-11,Barrhead,AB,CAN,CAN,72,177,2006,CGY,1,26,26
140,Allen York,CBJ,G,34,1989-06-17,Wetaskiwin,AB,CAN,CAN,75,188,2007,CBJ,6,7,158
141,Mike Murphy,CAR,G,34,1989-01-15,Kingston,ON,CAN,CAN,71,172,2008,CAR,6,14,165
142,Brad Thiessen,PIT,G,37,1986-03-19,Aldergrove,BC,CAN,CAN,72,180,-,-,-,-,-
143,Anders Nilsson,NYI,G,33,1990-03-19,Lulea,,SWE,SWE,78,232,2009,NYI,3,1,62
144,Matt Hackett,MIN,G,33,1990-03-07,London,ON,CAN,CAN,74,179,2009,MIN,3,16,77
145,Jussi Rynnas,TOR,G,36,1987-05-22,Pori,,FIN,FIN,77,210,-,-,-,-,-
146,Ben Scrivens,TOR,G,37,1986-09-11,Spruce Grove,AB,CAN,CAN,74,181,-,-,-,-,-
147,Iiro Tarkki,ANA,G,38,1985-07-01,Rauma,,FIN,FIN,74,190,-,-,-,-,-
148,Shawn Hunwick,CBJ,G,36,1987-04-09,Sterling Heights,MI,USA,USA,67,166,-,-,-,-,-
149,Jeff Frazee,N.J,G,36,1987-05-13,Edina,MN,USA,USA,72,195,2005,N.J,2,8,38
150,Jake Allen,STL,G,33,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
151,Darcy Kuemper,MIN,G,33,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
152,Carter Hutton,CHI,G,37,1985-12-19,Thunder Bay,ON,CAN,CAN,72,211,-,-,-,-,-
153,Sami Aittokallio,COL,G,31,1992-08-06,Tampere,,FIN,FIN,73,185,2010,COL,4,17,107
154,Philipp Grubauer,WSH,G,32,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
155,Petr Mrazek,DET,G,31,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
156,Keith Kinkaid,N.J,G,34,1989-07-04,Farmingville,NY,USA,USA,74,195,-,-,-,-,-
157,Viktor Fasth,ANA,G,41,1982-08-08,Kalix,,SWE,SWE,72,181,-,-,-,-,-
158,Cristopher Nilstorp,DAL,G,39,1984-02-16,Malmö,,SWE,SWE,75,190,-,-,-,-,-
159,Reto Berra,"CGY, COL",G,36,1987-01-03,Bulach,,CHE,CHE,76,218,2006,STL,4,13,106
160,Jeff Zatkoff,PIT,G,36,1987-06-09,Detroit,MI,USA,USA,74,186,2006,L.A,3,11,74
161,Michael Hutchinson,WPG,G,33,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,BOS,3,16,77
162,Joacim Eriksson,VAN,G,33,1990-04-09,Gävle,,SWE,SWE,73,189,2008,PHI,7,15,196
163,Martin Jones,L.A,G,33,1990-01-10,North Vancouver,BC,CAN,CAN,76,203,-,-,-,-,-
164,Joni Ortio,CGY,G,32,1991-04-16,Turku,,FIN,FIN,73,190,2009,CGY,6,20,171
165,Connor Knapp,BUF,G,33,1990-05-01,York,NY,USA,USA,78,206,2009,BUF,6,13,164
166,Cam Talbot,NYR,G,36,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
167,Eddie Lack,VAN,G,35,1988-01-05,Norrtälje,,SWE,SWE,76,187,-,-,-,-,-
168,Kent Simpson,CHI,G,31,1992-03-26,Edmonton,AB,CAN,CAN,74,209,2010,CHI,2,28,58
169,Mark Visentin,PHX,G,31,1992-08-07,Hamilton,ON,CAN,CAN,74,201,2010,PHX,1,27,27
170,Jack Campbell,DAL,G,31,1992-01-09,Port Huron,MI,USA,USA,75,207,2010,DAL,1,11,11
171,Frederik Andersen,ANA,G,34,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87
172,Nathan Lieuwen,BUF,G,32,1991-08-08,Abbotsford,BC,CAN,CAN,77,189,2011,BUF,6,16,167
173,Magnus Hellberg,NSH,G,32,1991-04-04,Uppsala,,SWE,SWE,78,220,2011,NSH,2,8,38
174,John Gibson,ANA,G,30,1993-07-14,Pittsburgh,PA,USA,USA,74,210,2011,ANA,2,9,39
175,Calvin Heeter,PHI,G,35,1988-11-02,St. Louis,MO,USA,USA,76,195,-,-,-,-,-
176,Niklas Svedberg,BOS,G,34,1989-09-04,Sollentuna,,SWE,SWE,73,163,-,-,-,-,-
177,Marek Mazanec,NSH,G,32,1991-07-18,Pisek,,CZE,CZE,76,202,2012,NSH,6,28,179
178,Andrew Hammond,OTT,G,35,1988-02-11,Surrey,BC,CAN,CAN,74,215,-,-,-,-,-
179,Antti Raanta,CHI,G,34,1989-05-12,Rauma,,FIN,FIN,72,195,-,-,-,-,-
180,Kristers Gudlevskis,T.B,G,31,1992-07-31,Aizkraukle,,LVA,LVA,75,188,2013,T.B,5,3,124
181,Rob Zepp,PHI,G,42,1981-09-07,Scarborough,ON,CAN,CAN,74,198,2001,CAR,4,14,110
182,Scott Darling,CHI,G,34,1988-12-22,Newport News,VA,USA,USA,78,226,2007,PHX,6,2,153
183,Calvin Pickard,COL,G,31,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
184,Tyler Bunz,EDM,G,31,1992-02-11,Regina,SK,CAN,CAN,73,205,2010,EDM,5,1,121
185,Louis Domingue,ARI,G,31,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,208,2010,PHX,5,18,138
186,Laurent Brossoit,EDM,G,30,1993-03-23,Port Alberni,BC,CAN,CAN,75,215,2011,CGY,6,13,164
187,Anton Forsberg,CBJ,G,31,1992-11-27,Härnösand,,SWE,SWE,75,193,2011,CBJ,7,7,188
188,Malcolm Subban,BOS,G,29,1993-12-21,Toronto,ON,CAN,CAN,74,215,2012,BOS,1,24,24
189,Andrei Vasilevskiy,T.B,G,29,1994-07-25,Tyumen,,RUS,RUS,76,220,2012,T.B,1,19,19
190,Chris Driedger,OTT,G,29,1994-05-18,Winnipeg,MB,CAN,CAN,76,208,2012,OTT,3,15,76
191,Mackenzie Skapski,NYR,G,29,1994-06-15,Abbotsford,BC,CAN,CAN,75,188,2013,NYR,6,19,170
192,Andrey Makarov,BUF,G,30,1993-04-20,Kazan,,RUS,RUS,74,194,-,-,-,-,-
193,Troy Grosenick,S.J,G,34,1989-08-27,Brookfield,WI,USA,USA,73,181,-,-,-,-,-
194,Jean-Francois Berube,NYI,G,32,1991-07-13,Repentigny,QC,CAN,CAN,73,177,2009,L.A,4,4,95
195,Scott Wedgewood,N.J,G,31,1992-08-14,Brampton,ON,CAN,CAN,74,205,2010,N.J,3,24,84
196,Jason Kasdorf,BUF,G,31,1992-05-18,Winnipeg,MB,CAN,CAN,76,205,2011,WPG,6,6,157
197,Garret Sparks,TOR,G,30,1993-06-28,Elmhurst,IL,USA,USA,75,220,2011,TOR,7,9,190
198,Jordan Binnington,STL,G,30,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,STL,3,27,88
199,Christopher Gibson,NYI,G,30,1992-12-27,Karkkila,,FIN,FIN,74,217,2011,L.A,2,19,49
200,Matt Murray,PIT,G,29,1994-05-25,Thunder Bay,ON,CAN,CAN,77,203,2012,PIT,3,22,83
201,Joonas Korpisalo,CBJ,G,29,1994-04-28,Pori,,FIN,FIN,75,193,2012,CBJ,3,1,62
202,Connor Hellebuyck,WPG,G,30,1993-05-19,Commerce,MI,USA,USA,76,216,2012,WPG,5,9,130
203,Linus Ullmark,BUF,G,30,1993-07-31,Lugnvik,,SWE,SWE,77,212,2012,BUF,6,12,163
204,Mike Condon,MTL,G,33,1990-04-27,Holliston,MA,USA,USA,74,195,-,-,-,-,-
205,Juuse Saros,NSH,G,28,1995-04-19,Forssa,,FIN,FIN,71,180,2013,NSH,4,8,99
206,Pheonix Copley,STL,G,31,1992-01-18,North Pole,AK,USA,USA,76,200,-,-,-,-,-
207,Roman Will,COL,G,31,1992-05-22,Plzen,,CZE,CZE,73,195,-,-,-,-,-
208,Matthew O'Connor,OTT,G,31,1992-02-14,Sault Ste. Marie,ON,CAN,CAN,78,188,-,-,-,-,-
209,Niklas Treutle,ARI,G,32,1991-04-29,Nuremberg,,DEU,DEU,74,185,-,-,-,-,-
210,Charlie Lindgren,MTL,G,29,1993-12-18,Lakeville,MN,USA,USA,74,179,-,-,-,-,-
211,Jeremy Smith,COL,G,34,1989-04-13,Dearborn,MI,USA,USA,72,177,2007,NSH,2,24,54
212,Zane McIntyre,BOS,G,31,1992-08-20,Grand Forks,ND,USA,USA,74,206,2010,BOS,6,15,165
213,Jon Gillies,CGY,G,29,1994-01-22,Concord,NH,USA,USA,78,223,2012,CGY,3,14,75
214,Anthony Stolarz,PHI,G,29,1994-01-20,Edison,NJ,USA,USA,78,243,2012,PHI,2,15,45
215,Marek Langhamer,ARI,G,29,1994-07-22,Moravska Trebova,,CZE,CZE,74,190,2012,PHX,7,3,184
216,Aaron Dell,S.J,G,34,1989-05-04,Airdrie,AB,CAN,CAN,72,213,-,-,-,-,-
217,Jared Coreau,DET,G,32,1991-11-05,Perth,ON,CAN,CAN,78,214,-,-,-,-,-
218,Antoine Bibeau,TOR,G,29,1994-05-01,Victoriaville,QC,CAN,CAN,75,205,2013,TOR,6,21,172
219,Tristan Jarry,PIT,G,28,1995-04-29,Surrey,BC,CAN,CAN,74,194,2013,PIT,2,14,44
220,Eric Comrie,WPG,G,28,1995-07-06,Edmonton,AB,CAN,CAN,73,183,2013,WPG,2,29,59
221,Spencer Martin,COL,G,28,1995-06-08,Oakville,ON,CAN,CAN,75,191,2013,COL,3,2,63
222,Alex Nedeljkovic,CAR,G,27,1996-01-07,Parma,OH,USA,USA,72,208,2014,CAR,2,7,37
223,Jorge Alves,CAR,G,44,1979-01-30,Boston,MA,USA,USA,69,188,-,-,-,-,-
224,David Rittich,CGY,G,31,1992-08-19,Jihlava,,CZE,CZE,76,205,-,-,-,-,-
225,Jeff Glass,CHI,G,38,1985-11-19,Calgary,,CAN,CAN,75,206,2004,OTT,3,24,89
226,Harri Sateri,FLA,G,33,1989-12-29,Toijala,,FIN,FIN,73,205,2008,S.J,4,15,106
227,J-F Berube,CHI,G,32,1991-07-13,Repentigny,QC,CAN,CAN,73,177,2009,L.A,4,4,95
228,Adam Wilcox,BUF,G,31,1992-11-26,South St. Pau,MN,USA,USA,72,189,2011,T.B,6,27,178
229,Maxime Lagace,VGK,G,30,1993-01-12,Saint-Augustin,QC,CAN,CAN,74,190,-,-,-,-,-
230,Oscar Dansk,VGK,G,29,1994-02-28,Stockholm,,SWE,SWE,75,204,2012,CBJ,2,1,31
231,Thatcher Demko,VAN,G,28,1995-12-08,San Diego,CA,USA,USA,76,192,2014,VAN,2,6,36
232,Brandon Halverson,NYR,G,27,1996-03-29,Traverse City,MI,USA,USA,76,210,2014,NYR,2,29,59
233,Adin Hill,ARI,G,27,1996-05-11,Comox,BC,CAN,CAN,76,215,2015,ARI,3,15,76
234,Ken Appleby,N.J,G,28,1995-04-10,North Bay,ON,CAN,CAN,77,210,-,-,-,-,-
235,Scott Foster,CHI,G,-,-,-,-,-,-,-,-,-,-,-,-,-
236,Casey DeSmith,PIT,G,32,1991-08-13,Rochester,NH,USA,USA,72,181,-,-,-,-,-
